Date,Adj Close,Close,High,Low,Open,Volume
2023-01-03,122.87674713134766,125.06999969482422,130.89999389648438,124.16999816894531,130.27999877929688,112117500
2023-01-04,124.14412689208984,126.36000061035156,128.66000366210938,125.08000183105469,126.88999938964844,89113600
2023-01-05,122.82762908935547,125.0199966430664,127.7699966430664,124.76000213623047,127.12999725341797,80962700
2023-01-06,127.34696960449219,129.6199951171875,130.2899932861328,124.88999938964844,126.01000213623047,87754700
2023-01-09,127.8676528930664,130.14999389648438,133.41000366210938,129.88999938964844,130.47000122070312,70790800
2023-01-10,128.43748474121094,130.72999572753906,131.25999450683594,128.1199951171875,130.25999450683594,63896200
2023-01-11,131.14906311035156,133.49000549316406,133.50999450683594,130.4600067138672,131.25,69458900
2023-01-12,131.07049560546875,133.41000366210938,134.25999450683594,131.44000244140625,133.8800048828125,71379600
2023-01-13,132.39682006835938,134.75999450683594,134.9199981689453,131.66000366210938,132.02999877929688,57809700
2023-01-17,133.55612182617188,135.94000244140625,137.2899932861328,134.1300048828125,134.8300018310547,63646600
2023-01-18,132.83889770507812,135.2100067138672,138.61000061035156,135.02999877929688,136.82000732421875,69672800
2023-01-19,132.89785766601562,135.27000427246094,136.25,133.77000427246094,134.0800018310547,58280400
2023-01-20,135.4522705078125,137.8699951171875,138.02000427246094,134.22000122070312,135.27999877929688,80223600
2023-01-23,138.6354522705078,141.11000061035156,143.32000732421875,137.89999389648438,138.1199951171875,81760300
2023-01-24,140.03057861328125,142.52999877929688,143.16000366210938,140.3000030517578,140.30999755859375,66435100
2023-01-25,139.37229919433594,141.86000061035156,142.42999267578125,138.80999755859375,140.88999938964844,65799300
2023-01-26,141.43545532226562,143.9600067138672,144.25,141.89999389648438,143.1699981689453,54105100
2023-01-27,143.37095642089844,145.92999267578125,147.22999572753906,143.0800018310547,143.16000366210938,70555800
2023-01-30,140.49234008789062,143.0,145.5500030517578,142.85000610351562,144.9600067138672,64015300
2023-01-31,141.75965881347656,144.2899932861328,144.33999633789062,142.27999877929688,142.6999969482422,65874500
2023-02-01,142.87969970703125,145.42999267578125,146.61000061035156,141.32000732421875,143.97000122070312,77663600
